,video_id,channelTitle,title,description,tags,publishedAt,duration,definition,caption
0,br0Yv4mmdNw,ANTIHYPE,Sarius - Adam Sławny (prod. Wowo),1033,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'adam', 'sławny', 'fame', 'fame mma 15', 'stado', 'nocny', 'joker', 'bon voyage', 'sarius słoń', 'sarius fame', 'sarius fame mma', 'fame mma', 'sarius wrzosek', 'quattro', 'wowo', 'adam sławny']",2022-09-22T08:55:28Z,PT3M53S,hd,false
1,nFZKL6Y8FNE,ANTIHYPE,Sarius feat. Kubańczyk - Quattro (prod. Wowo),1231,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'stado', 'nocny', 'joker', 'bon voyage', 'sarius słoń', 'sarius fame', 'sarius fame mma', 'fame mma', 'sarius wrzosek', 'kubańczyk', 'quattro', 'quatro', 'wowo']",2022-08-26T22:17:59Z,PT3M22S,hd,false
2,8zXff3Bj17E,ANTIHYPE,Sarius - Stado (prod. NOCNY),939,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'stado', 'nocny', 'joker', 'bon voyage', 'sarius słoń', 'sarius fame', 'sarius fame mma', 'fame mma', 'sarius wrzosek']",2022-08-11T09:56:27Z,PT3M34S,hd,false
3,wcYTxV2FUMM,ANTIHYPE,Sarius - Joker (prod. soSpecial),915,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'sarius joker', 'sospecial', 'sarius słoń', 'sarius bon voyage', 'sarius fame mma', 'sarius wrzosek', 'sarius fejm', 'sarius heath ledger']",2022-07-21T08:04:16Z,PT2M59S,hd,false
4,hV462re6vWY,ANTIHYPE,Sarius feat. Słoń - Bon Voyage (prod. soSpecial),1247,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'słoń', 'sarius słoń bon voyage', 'sospecial', 'wsrh', 'breain dead familia', 'sarius rogal najshajs', 'bdf', 'sicario', 'antihype 2', 'wszystko co złe', 'pierwszy dzień po końcu świata', 'powiedział mi ktoś', 'ziom z papieru', 'redrum', 'yeah bwoy', 'dziecko wojny', 'nie widac po mnie']",2022-06-30T09:54:31Z,PT3M16S,hd,false
5,cPlfRfHAzl4,ANTIHYPE,kuba hejz - rozdział II,828,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'hvzx', 'rozdział II', 'kuba hejz', 'hejzu', 'feno', 'kuba hejz rozdział II']",2022-05-02T10:19:01Z,PT4M4S,hd,false
6,Jv2Eoj-qGXI,ANTIHYPE,Hooligan Peach & Feno - KIESZENIE,806,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'hooligan peach', 'hooligan', 'peach', 'feno', 'kieszenie']",2022-02-25T10:58:03Z,PT3M23S,hd,false
7,Nx11ExSQdd8,ANTIHYPE,Feno - Pan W Proch Czy W Pył (prod. Plughub),1142,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'floral bugs', 'feno', 'endorfiny', 'feno gesty', 'feno transgresja', 'feno floral', 'feno sarius', 'feno części', 'feno monami', 'pan w proch czy w pył', 'feno pan w proch']",2022-01-21T12:43:49Z,PT2M57S,hd,false
8,zqB1oZ_tjVI,ANTIHYPE,Feno - Monami (prod. Plughub),1288,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'floral bugs', 'feno', 'endorfiny', 'feno gesty', 'feno transgresja', 'feno floral', 'feno sarius', 'feno części', 'feno monami']",2022-01-14T12:15:11Z,PT3M2S,hd,false
9,2U8rXzuWRM4,ANTIHYPE,Feno feat. Floral Bugs - Endorfiny (prod. Plughub),1356,"['sarius', 'antihype', 'wszystko', 'co', 'zle', 'rap', 'hip-hop', 'hip', 'hop', 'muzyka', 'teledysk', 'video', 'wiosna', 'gibbs', 'kpsn', 'kurtyna', 'więzi', 'dziedzic', 'korony', 'czasem', 'mariusz', 'to', 'antyhajp', 'asfalt', 'stoprocent', 'floral bugs', 'feno', 'endorfiny', 'feno gesty', 'feno transgresja', 'feno floral', 'feno sarius', 'feno części']",2022-01-06T09:55:40Z,PT3M43S,hd,false
